identifier,creator,title,date,downloads,venue
01-track-01_20200827,Ween,Ween Live at Key Arena on 2001-09-01,2001-09-01T00:00:00Z,368,Key Arena
01-track-01_20200827_1735,Ween,Ween Live at Marquee on 2003-09-23,2003-09-23T00:00:00Z,241,Marquee
040117GirlLetsDanceFINALOliveRidleys,Annie in the Water,Annie in the Water Live at Olive Ridley's on 2017-04-01,2017-04-01T00:00:00Z,220,Olive Ridley's
042017WaterholeSet1,Annie in the Water,Annie in the Water Live at The Waterhole on 2017-04-20,2017-04-20T00:00:00Z,204,The Waterhole
042017WaterholeSet2,Annie in the Water,Annie in the Water Live at The Waterhole on 2017-04-20,2017-04-20T00:00:00Z,204,The Waterhole
04AoN20140927Cryptical,Arrows of Neon,Arrows of Neon Live at Peach's Grill on 2014-09-27,2014-09-27T00:00:00Z,708,Peach's Grill
05-track-05_202008,Ween,Ween Live at Kentucky Theater on 2002-04-23,2002-04-23T00:00:00Z,338,Kentucky Theater
05-track-05_20200827,Ween,Ween Live at Water St. Music Hall on 2003-08-02,2003-08-02T00:00:00Z,215,Water St. Music Hall
05-track-5_20200827,Ween,Ween Live at Mt. Baker Theater on 2004-10-10,2004-10-10T00:00:00Z,506,Mt. Baker Theater
06-track-06_20200827,Ween,Ween Live at Guilford College on 2002-04-20,2002-04-20T00:00:00Z,475,Guilford College
06-track-06_20200827_1614,Ween,Ween Live at The Stone Pony on 2003-05-25,2003-05-25T00:00:00Z,638,The Stone Pony
061117DiscJamMusicFestival,Annie in the Water,Annie in the Water Live at Disc Jam Music Festival on 2017-06-11,2017-06-11T00:00:00Z,687,Disc Jam Music Festival
07-track-07_20200827,Ween,Ween Live at Higher Ground on 2001-03-25,2001-03-25T00:00:00Z,203,Higher Ground
07-track-07_20200827_0342,Ween,Ween Live at Axis on 2002-04-24,2002-04-24T00:00:00Z,421,Axis
08-track-08_202008,Ween,Ween Live at Missouri Theater on 2002-04-26,2002-04-26T00:00:00Z,187,Missouri Theater
08-track-08_20200827,Ween,Ween Live at Haverford College on 2002-05-03,2002-05-03T00:00:00Z,437,Haverford College
08-track-08_20200827_1626,Ween,Ween Live at Kalamazoo State Theatre on 2003-07-26,2003-07-26T00:00:00Z,259,Kalamazoo State Theatre
08-track-08_20200827_1637,Ween,Ween Live at StateTheater on 2003-08-04,2003-08-04T00:00:00Z,386,StateTheater
08-track-8_202008,Ween,Ween Live at Commodore Ballroom on 2001-09-02,2001-09-02T00:00:00Z,430,Commodore Ballroom
09-track-09_202008,Ween,Ween Live at Elserhalle on 2000-09-02,2000-09-02T00:00:00Z,95,Elserhalle
09-track-09_20200827,Ween,Ween Live at Red Rocks on 2001-08-24,2001-08-24T00:00:00Z,280,Red Rocks
09-track-09_20200827_0409,Ween,Ween Live at Recher Theater on 2002-06-20,2002-06-20T00:00:00Z,469,Recher Theater
09-track-09_20200827_1715,Ween,Ween Live at Orange Peel on 2003-09-12,2003-09-12T00:00:00Z,362,Orange Peel
09-track-09_20200828_0142,Ween,Ween Live at The Masquerade on 1999-08-24,1999-08-24T00:00:00Z,470,The Masquerade
10-track-10_202008,Ween,Ween Live at Shryock Auditorium on 2002-04-27,2002-04-27T00:00:00Z,261,Shryock Auditorium
10-track-10_20200827,Ween,Ween Live at John & Peters on 2002-10-06,2002-10-06T00:00:00Z,561,John & Peters
11-track-11_20200827,Ween,Ween Live at Palookaville on 2001-08-27,2001-08-27T00:00:00Z,464,Palookaville
11-track-11_20200827_0226,Ween,Ween Live at Fillmore on 2001-08-28,2001-08-28T00:00:00Z,411,Fillmore
13-track-13_20200827,Ween,Ween Live at John & Peters on 2002-04-09,2002-04-09T00:00:00Z,366,John & Peters
13-track-13_20200827_0327,Ween,Ween Live at The Plex on 2002-04-21,2002-04-21T00:00:00Z,266,The Plex
13-track-13_20200827_1620,Ween,Ween Live at Club Laga on 2003-07-25,2003-07-25T00:00:00Z,496,Club Laga
14-track-14_202008,Ween,Ween Live at House Of Blues on 2002-11-01,2002-11-01T00:00:00Z,285,House Of Blues
15-track-15_202008,Ween,Ween Live at Aleyeska Day Lodge on 2001-08-17,2001-08-17T00:00:00Z,269,Aleyeska Day Lodge
